Year;CoarseSand_gperkg;LightSand_gperkg;CoarseLimestone_gperkg;LightLimestone_gperkg;Clay_gperkg;Corg_gperkg;OrganicMatter_gperkg;NitrogenTot_gparkg;pH_water;CaTot_gparkg;CaAct_gparkg
2017;NA;NA;NA;NA;NA;15.59;26.96;1.4;8.11;NA;NA
2016;NA;NA;NA;NA;NA;15.67;27.11;1.48;7.6;NA;NA
1966;78;66;110;380;305;15.7;27;;7.7;34;NA
1970;60;40;68;160;540;15.7;27;;7.7;105;34
1979;30;10;304;420;200;15.7;27;;7.5;8;NA
2019;NA;NA;NA;NA;NA;15.7;27;1.6;7.55;NA;NA
2016;NA;NA;NA;NA;NA;15.71;27.18;1.42;8.2;NA;NA
2016;NA;NA;NA;NA;NA;15.71;27.18;1.51;7.7;NA;NA
2015;NA;NA;NA;NA;NA;15.83;27.39;1.52;8;NA;NA
2016;NA;NA;NA;NA;NA;15.84;27.4;1.43;8.2;NA;NA
2017;NA;NA;NA;NA;NA;15.95;27.6;1.44;8.36;NA;NA
2015;NA;NA;NA;NA;NA;15.9883720930233;27.5;;;NA;NA
2016;NA;NA;NA;NA;NA;16.02;27.71;1.51;8;NA;NA
2016;NA;NA;NA;NA;NA;16.11;27.87;1.45;8.2;NA;NA
2015;NA;NA;NA;NA;NA;16.13;27.9;1.44;8.3;NA;NA
1961;87;46;134;110;480;16.28;28;;7.4;115;NA
1977;NA;NA;NA;NA;NA;16.28;28;;7.5;10;NA
1999;NA;NA;NA;NA;NA;16.28;28;;7.86;44;NA
2019;NA;NA;NA;NA;NA;16.3;28.1;1.8;7.95;83;NA
2016;NA;NA;NA;NA;NA;16.47;28.49;1.63;7.5;NA;NA
2014;NA;NA;NA;NA;NA;16.5116279069767;28.4;;8.2;NA;NA
2015;NA;NA;NA;NA;NA;16.54;28.61;1.2;8.4;NA;NA
2019;NA;NA;NA;NA;NA;16.6;28.6;1.8;7.89;NA;NA
2002;NA;NA;NA;NA;NA;16.74;28.8;;8.08;21;0
